"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Silva, Ernest Ronald","VIS 110M  - Studio Honors I                (A)","FA10","13","9","100.0%","88.9%","8.28","A- (3.89)","N/A"
"Hendrickson, Laura M.","VIS 112 - Art Historical Methods         (A)","FA10","16","4","75.0%","100.0%","4.50","A- (3.75)","N/A"
"Newsome, Elizabeth Ann","VIS 117E  - Problems in Ethnoaesthetics    (A)","FA10","15","6","100.0%","100.0%","3.50","A- (3.83)","N/A"
"Greenstein, Jack M","VIS 122F  - Leonardo's La Gioconda         (A)","FA10","18","7","85.7%","83.3%","4.79","B+ (3.57)","N/A"
"Sowell, Teri Lynne","VIS 126J  - African & Afro-American Art    (A)","FA10","69","34","87.9%","93.8%","3.83","B+ (3.52)","B (3.20)"
"Shen, Kuiyi","VIS 127B  - Arts of China                  (A)","FA10","164","75","93.3%","93.2%","3.87","A- (3.79)","B+ (3.56)"
"Tronzo, William","VIS 128A  - Topics/Pre-Modern Art History  (A)","FA10","34","10","80.0%","80.0%","4.30","A- (3.70)","B+ (3.62)"
"Park, Kyong Dong","VIS 129F  - Seminar/Art Theory & Criticism (A)","FA10","15","7","33.3%","50.0%","2.17","A- (3.71)","N/A"
"Bratton, Benjamin H.","VIS 140 - Digtl Imaging:Image&Interactiv (A)","FA10","55","19","63.2%","68.4%","6.92","B+ (3.33)","B- (2.87)"
"Alexander, Amy J","VIS 145B  - Time&Process Digital Media II  (A)","FA10","15","9","88.9%","88.9%","7.39","A- (3.75)","N/A"
"Cardenas, Micha Maya","VIS 147A  - Electronic Technologies/Art I  (A)","FA10","33","13","92.3%","69.2%","8.81","B+ (3.62)","B+ (3.53)"
"Crandall, Jordan","VIS 149 - Contemporary Computer Topics   (A)","FA10","10","9","77.8%","100.0%","5.83","A- (3.78)","N/A"
"Stalbaum, Brett","VIS 149 - Contemporary Computer Topics   (B)","FA10","16","7","85.7%","100.0%","6.50","B (3.29)","N/A"
"Mangolte, Babette","VIS 155 - The Director Series            (A)","FA10","48","20","80.0%","50.0%","5.00","B+ (3.39)","B+ (3.34)"
"Arnold, Siobhan","VIS 158 - Histories of Photography       (A)","FA10","130","55","90.9%","83.3%","3.85","B (3.30)","B- (2.88)"
"Lonidier, Fred S.","VIS 164 - Photographic Strategies        (A)","FA10","23","5","80.0%","100.0%","2.10","B+ (3.60)","B+ (3.63)"
"Steinmetz, Phel","VIS 165 - Camera Techniques              (A)","FA10","24","4","100.0%","100.0%","6.00","A- (3.75)","B+ (3.42)"
"Cornish, Tracy","VIS 171 - Digital Cinema-Theory/Productn (A)","FA10","22","6","100.0%","83.3%","6.17","A- (3.83)","B+ (3.45)"
"Crandall, Jordan","VIS 174 - Media Sketchbook               (A)","FA10","19","6","100.0%","66.7%","6.83","A- (3.83)","N/A"
"Smith, Cauleen","VIS 174 - Media Sketchbook               (B)","FA10","21","8","100.0%","62.5%","8.50","A- (3.75)","A- (3.84)"
"Mangolte, Babette","VIS 176 - 16mm Filmmaking                (A)","FA10","24","7","100.0%","71.4%","11.36","B+ (3.50)","B (3.28)"
"Gorin, Jean-Pierre","VIS 177 - Scripting Strategies           (A)","FA10","26","10","90.0%","90.0%","7.70","B+ (3.67)","A- (3.75)"
"Trigilio, Michael","VIS 178 - Sound - Theory and Production  (A)","FA10","24","17","100.0%","94.1%","6.38","B+ (3.56)","B+ (3.35)"
"Hock, Louis J.","VIS 180A  - Documentary Evidence/Media Pra (A)","FA10","21","11","100.0%","90.9%","7.05","B+ (3.64)","B+ (3.31)"
"Lertxundi, Laida","VIS 180B  - Fic & Allegory/Curr Media Prac (A)","FA10","21","9","77.8%","77.8%","6.94","A- (3.89)","A- (3.70)"
"Smith, Cauleen","VIS 183A  - Strategies of Self             (A)","FA10","24","11","72.7%","63.6%","4.70","A- (3.78)","A- (3.83)"
"Lertxundi, Laida","VIS 183B  - Strategies of Alterity         (A)","FA10","18","8","87.5%","87.5%","5.25","B+ (3.38)","N/A"
"Bryson, William N","VIS 22 - Formations of Modern Art       (A)","FA10","240","135","79.1%","94.0%","4.68","B+ (3.30)","B (3.17)"
"Stalbaum, Brett","VIS 40 - Introduction/Computing in Arts (A)","FA10","119","62","73.8%","80.3%","5.30","B+ (3.51)","B+ (3.38)"
"Wallen, Ruth","VIS 60 - Intro/Digital Photography      (A)","FA10","121","54","85.2%","46.3%","5.31","B+ (3.55)","B (3.27)"
"Trigilio, Michael","VIS 70N  - Introduction to Media          (A)","FA10","113","83","84.0%","96.3%","7.10","B+ (3.47)","B+ (3.59)"
"Gorin, Jean-Pierre","VIS 84 - History Of Film                (A)","FA10","167","89","69.3%","65.9%","3.29","B+ (3.46)","B+ (3.51)"
"Gorin, Jean-Pierre","VIS 87 - Freshman Seminar               (A)","FA10","9","7","50.0%","16.7%","0.50","A (4.00)","N/A"
"Gorin, Jean-Pierre","VIS 87 - Freshman Seminar               (C)","FA10","12","9","77.8%","88.9%","2.06","A (4.00)","N/A"
"Quesnell, Iana Kathleen","VIS 105A  - Drawing: Representing/Subject  (A)","SU10","18","4","75.0%","75.0%","9.00","A (4.00)","N/A"
"Li, Huai","VIS 105D  - Aesthetics/Chinese Calligraphy (A)","SU10","23","12","100.0%","91.7%","6.17","A (4.00)","N/A"
"Guerrero, Raul M.","VIS 106A  - Painting:  Image Making        (A)","SU10","21","5","100.0%","100.0%","4.10","A- (3.80)","N/A"
"Marino, John A.","VIS 122GS - The City In Italy              (A)","SU10","26","15","100.0%","93.3%","6.77","N/A","N/A"
"Gorin, Jean-Pierre","VIS 154 - Hard Look at the Movies        (A)","SU10","64","25","72.0%","62.5%","5.70","B (3.27)","N/A"
"Gorin, Jean-Pierre","VIS 194S  - Fantasy In Film                (A)","SU10","85","21","81.0%","76.2%","3.93","B+ (3.52)","N/A"
"Shen, Kuiyi","VIS 21B  - Introduction/Asian Art         (A)","SU10","64","27","88.9%","88.9%","6.04","B+ (3.65)","N/A"
"Alvarez, Mariola V","VIS 22 - Formations of Modern Art       (A)","SU10","55","16","87.5%","81.3%","6.88","A- (3.77)","N/A"
"Anderson, Shane Nicholas","VIS 60 - Intro/Digital Photography      (A)","SU10","55","23","95.7%","95.7%","7.54","A- (3.70)","N/A"
"Dominguez, Ricardo","VIS 104A  - Performing the Self            (A)","SP10","19","9","88.9%","100.0%","4.72","A- (3.89)","N/A"
"Guerrero, Raul M.","VIS 105A  - Drawing: Representing/Subject  (A)","SP10","31","12","100.0%","91.7%","5.50","A (4.00)","A (4.00)"
"Ziperstein, Bari","VIS 105B  - Drawing: Practices and Genre   (A)","SP10","16","5","100.0%","100.0%","4.50","A (4.00)","N/A"
"Owens, Laura A.","VIS 105C  - Drawing: Portfolio Projects    (A)","SP10","12","6","100.0%","83.3%","5.83","B+ (3.33)","N/A"
"Guerrero, Raul M.","VIS 106A  - Painting:  Image Making        (A)","SP10","24","11","100.0%","100.0%","7.77","A (4.00)","A (4.00)"
"Silva, Ernest Ronald","VIS 106B  - Painting: Practices and Genre  (A)","SP10","26","10","100.0%","100.0%","6.72","A- (3.90)","A (4.00)"
"Owens, Laura A.","VIS 106C  - Painting: Portfolio Projects   (A)","SP10","10","6","100.0%","83.3%","7.50","B+ (3.33)","N/A"
"Young, Kent","VIS 107A  - Sculpture: Making the Object   (A)","SP10","25","8","100.0%","87.5%","8.75","A- (3.86)","A- (3.83)"
"Young, Kent","VIS 108 - Advanced Projects in Art       (A)","SP10","15","8","100.0%","87.5%","5.25","A- (3.88)","N/A"
"Ziperstein, Bari","VIS 110D  - Visual Narrative/Tableau       (A)","SP10","15","4","100.0%","100.0%","6.50","A (4.00)","N/A"
"Gallaccio, Anya","VIS 110F  - Instlatn:Cross-Discipln Projct (A)","SP10","17","8","100.0%","100.0%","10.25","A- (3.75)","N/A"
"Nodelman, Sheldon A.","VIS 112 - Art Historical Methods         (A)","SP10","12","4","50.0%","50.0%","4.50","B+ (3.50)","N/A"
"Tronzo, William","VIS 121AN - The Idea of Medieval Art       (A)","SP10","98","40","82.5%","92.5%","3.42","B+ (3.65)","B+ (3.63)"
"Rosenblum, Beth T.","VIS 126Q  - Latin American Art: 1950-Prsnt (A)","SP10","74","32","78.1%","84.4%","5.00","B+ (3.37)","B- (2.90)"
"Hendrickson, Laura M.","VIS 128B  - Topic/Early Modern Art History (A)","SP10","43","18","61.1%","55.6%","4.06","B+ (3.69)","B+ (3.46)"
"Nodelman, Sheldon A.","VIS 128C  - Topics in Modern Art History   (A)","SP10","76","32","70.0%","56.7%","4.76","B+ (3.30)","B (3.19)"
"Cruz, Teddy","VIS 128P  - Curatorial Practices Workshop  (A)","SP10","12","4","100.0%","75.0%","3.50","A (4.00)","N/A"
"Woods, Ann","VIS 129A  - Seminar/Pre-Modern Art History (A)","SP10","14","6","100.0%","100.0%","4.50","B+ (3.50)","N/A"
"Rosenblum, Beth T.","VIS 129D  - Seminar/Art History/Americas   (A)","SP10","15","8","100.0%","100.0%","5.50","B+ (3.38)","N/A"
"Shen, Kuiyi","VIS 129E  - Seminar/Art History/Asia       (A)","SP10","17","11","100.0%","100.0%","5.77","A- (3.90)","N/A"
"Cruz, Teddy","VIS 129F  - Seminar/Art Theory & Criticism (A)","SP10","19","5","40.0%","60.0%","2.10","B+ (3.60)","N/A"
"Bryson, Norman","VIS 129H  - Art Hist Hon Directed Grp Stdy (A)","SP10","9","5","100.0%","100.0%","10.50","A (4.00)","N/A"
"Spellman, Lisa Naomi","VIS 140 - Digtl Imaging:Image&Interactiv (A)","SP10","49","20","90.0%","85.0%","7.20","A- (3.74)","B (3.02)"
"Stalbaum, Brett","VIS 141B  - Computer Programming/Arts II   (A)","SP10","10","5","80.0%","100.0%","6.00","A (4.00)","N/A"
"Knowlton, Jeff","VIS 145A  - Time&Process Digital Media I   (A)","SP10","50","21","76.2%","76.2%","5.03","B+ (3.62)","B+ (3.63)"
"Twomey, Robert Daniel","VIS 145B  - Time&Process Digital Media II  (A)","SP10","17","7","100.0%","100.0%","7.36","B (3.14)","N/A"
"Cardenas, Micha Maya","VIS 147B  - Electronic Technologies/Art II (B)","SP10","15","5","100.0%","100.0%","5.30","B (3.00)","N/A"
"Crandall, Jordan","VIS 149 - Contemporary Computer Topics   (A)","SP10","16","4","50.0%","75.0%","3.50","A (4.00)","N/A"
"Gorin, Jean-Pierre","VIS 152 - Film in Social Context         (A)","SP10","106","40","72.5%","72.5%","5.40","B+ (3.44)","B+ (3.46)"
"Steinmetz, Phel","VIS 164 - Photographic Strategies        (A)","SP10","25","9","100.0%","100.0%","7.83","A- (3.78)","B (3.29)"
"Lonidier, Fred S.","VIS 167 - Social Engagement/Photography  (A)","SP10","19","8","75.0%","75.0%","3.00","A- (3.75)","N/A"
"Hock, Louis J.","VIS 171 - Digital Cinema-Theory/Productn (A)","SP10","23","6","100.0%","100.0%","9.70","B+ (3.33)","B+ (3.32)"
"Montoya, Ivonne Patricia","VIS 174 - Media Sketchbook               (A)","SP10","24","12","100.0%","100.0%","7.83","A- (3.82)","A- (3.92)"
"Fenster, David","VIS 177 - Scripting Strategies           (A)","SP10","28","8","100.0%","57.1%","4.79","A- (3.75)","B+ (3.64)"
"Fagin, Steve","VIS 180A  - Documentary Evidence/Media Pra (A)","SP10","21","12","91.7%","66.7%","8.00","A- (3.73)","B+ (3.38)"
"Lertxundi, Laida","VIS 180B  - Fic & Allegory/Curr Media Prac (A)","SP10","21","7","71.4%","71.4%","10.50","B (3.29)","B+ (3.59)"
"Fenster, David","VIS 182 - Advanced Editing               (A)","SP10","25","9","88.9%","100.0%","8.94","B+ (3.67)","A- (3.96)"
"Crandall, Jordan","VIS 183A  - Strategies of Self             (A)","SP10","24","6","66.7%","83.3%","5.17","A (4.00)","B+ (3.54)"
"Lertxundi, Laida","VIS 183B  - Strategies of Alterity         (A)","SP10","24","11","72.7%","63.6%","10.86","B+ (3.64)","A- (3.71)"
"Woods, Ann","VIS 20 - Introduction to Art History    (A)","SP10","125","62","88.5%","95.1%","3.27","B+ (3.52)","B (3.16)"
"Shen, Kuiyi","VIS 21B  - Introduction/Asian Art         (A)","SP10","222","105","85.6%","81.7%","3.46","B+ (3.62)","B+ (3.41)"
"Woods, Ann","VIS 23 - Informtn Technologies/Art Hist (A)","SP10","14","5","80.0%","80.0%","2.90","B+ (3.40)","N/A"
"Gallaccio, Anya","VIS 3 - Intr/Art-Making:3-D Practices  (A)","SP10","255","97","81.4%","58.3%","4.60","A- (3.78)","B+ (3.49)"
"Stalbaum, Brett","VIS 40 - Introduction/Computing in Arts (A)","SP10","110","42","56.1%","73.2%","4.64","B+ (3.55)","B+ (3.46)"
"Lonidier, Fred S.","VIS 60 - Intro/Digital Photography      (A)","SP10","105","42","59.5%","14.3%","5.17","B+ (3.70)","B (3.23)"
"Trigilio, Michael","VIS 70N  - Introduction to Media          (A)","SP10","119","59","88.1%","96.5%","7.35","B+ (3.36)","B+ (3.33)"
"Quesnell, Iana Kathleen","VIS 105A  - Drawing: Representing/Subject  (A)","WI10","21","8","100.0%","100.0%","3.75","A (4.00)","A- (3.90)"
"Pastor, Jennifer C","VIS 105C  - Drawing: Portfolio Projects    (A)","WI10","17","6","100.0%","50.0%","5.50","B+ (3.67)","N/A"
"Li, Huai","VIS 105D  - Aesthetics/Chinese Calligraphy (A)","WI10","30","15","100.0%","100.0%","2.50","A (4.00)","A- (3.77)"
"Li, Huai","VIS 105E  - Chin Calligraphy/Installation  (A)","WI10","11","4","100.0%","100.0%","2.50","A (4.00)","N/A"
"Silva, Ernest Ronald","VIS 106A  - Painting:  Image Making        (A)","WI10","25","10","100.0%","100.0%","5.90","A- (3.90)","A (4.00)"
"DeLuca, Mara","VIS 106C  - Painting: Portfolio Projects   (A)","WI10","13","5","100.0%","100.0%","6.90","A- (3.80)","N/A"
"Johnson, Jay","VIS 107B  - Sculpture: Practices & Genre   (A)","WI10","10","3","100.0%","100.0%","3.83","B+ (3.67)","N/A"
"Gallaccio, Anya","VIS 107CN - Sculpture: Portfolio Projects  (A)","WI10","14","3","100.0%","100.0%","5.17","A (4.00)","N/A"
"Silva, Ernest Ronald","VIS 108 - Advanced Projects in Art       (A)","WI10","20","6","100.0%","100.0%","8.50","B+ (3.67)","A (4.00)"
"Park, Kyong Dong","VIS 110E  - Art/Public Places/Site Specifc (A)","WI10","14","6","100.0%","83.3%","4.50","B+ (3.33)","N/A"
"Ortiz-Torres, Ruben","VIS 110N  - Studio Honors II               (A)","WI10","14","6","100.0%","83.3%","10.50","B+ (3.67)","N/A"
"Cruz, Teddy","VIS 111 - Structure of Art               (A)","WI10","287","102","56.9%","65.3%","3.91","A- (3.72)","B+ (3.57)"
"Welchman, John C.","VIS 112 - Art Historical Methods         (A)","WI10","16","7","71.4%","100.0%","6.21","A- (3.86)","N/A"
"Nodelman, Sheldon A.","VIS 120B  - Roman Art                      (A)","WI10","58","25","70.8%","56.5%","4.26","B- (2.89)","B (3.01)"
"Newsome, Elizabeth Ann","VIS 126I  - Southwest American Indian Art  (A)","WI10","46","20","85.0%","70.0%","4.39","B+ (3.69)","B (3.18)"
"Bryson, Norman","VIS 127N  - 20th Century Art/China & Japan (A)","WI10","124","53","81.1%","83.0%","4.85","B+ (3.55)","B+ (3.41)"
"Shen, Kuiyi","VIS 127P  - Arts of Japan                  (A)","WI10","122","54","88.7%","90.6%","3.86","A- (3.70)","B+ (3.59)"
"Cruz, Teddy","VIS 128P  - Curatorial Practices Workshop  (A)","WI10","11","4","75.0%","100.0%","1.00","A (4.00)","N/A"
"Nodelman, Sheldon A.","VIS 129A  - Seminar/Pre-Modern Art History (A)","WI10","11","6","83.3%","66.7%","3.50","A- (3.80)","N/A"
"Greenstein, Jack M","VIS 129B  - Seminar/Early Modern Art Hist  (A)","WI10","17","8","87.5%","87.5%","4.00","B+ (3.57)","N/A"
"Sowell, Teri Lynne","VIS 129F  - Seminar/Art Theory & Criticism (A)","WI10","14","6","100.0%","100.0%","6.83","A- (3.80)","N/A"
"Bryson, Norman","VIS 129G  - Art History Honors Seminar     (A)","WI10","11","8","87.5%","100.0%","6.50","A (4.00)","N/A"
"Hock, Louis J.","VIS 132 - Installation Production&Studio (A)","WI10","16","3","100.0%","66.7%","2.50","A (4.00)","N/A"
"Bratton, Benjamin H.","VIS 140 - Digtl Imaging:Image&Interactiv (A)","WI10","46","21","66.7%","66.7%","4.98","B+ (3.40)","B (3.10)"
"Stalbaum, Brett","VIS 141A  - Computer Programming/Arts I    (A)","WI10","16","6","83.3%","100.0%","6.50","A (4.00)","N/A"
"Alexander, Amy J","VIS 145A  - Time&Process Digital Media I   (A)","WI10","40","17","82.4%","88.2%","5.68","B+ (3.65)","B+ (3.59)"
"Twomey, Robert Daniel","VIS 147A  - Electronic Technologies/Art I  (A)","WI10","36","9","100.0%","77.8%","4.28","B+ (3.38)","B+ (3.36)"
"Cardenas, Micha Maya","VIS 147B  - Electronic Technologies/Art II (A)","WI10","15","7","100.0%","100.0%","9.07","A- (3.71)","N/A"
"Brown, Sheldon Glenn","VIS 149 - Contemporary Computer Topics   (A)","WI10","13","4","100.0%","100.0%","11.00","A (4.00)","N/A"
"Dominguez, Ricardo","VIS 149 - Contemporary Computer Topics   (B)","WI10","11","4","50.0%","75.0%","7.17","B+ (3.67)","N/A"
"Gorin, Jean-Pierre","VIS 154 - Hard Look at the Movies        (A)","WI10","123","51","92.0%","90.0%","4.15","B+ (3.58)","B+ (3.31)"
"Crandall, Jordan","VIS 159 - History of Art and Technology  (A)","WI10","120","45","46.7%","53.3%","4.37","B+ (3.42)","B+ (3.59)"
"Bloom, Lisa E","VIS 164 - Photographic Strategies        (A)","WI10","21","7","85.7%","100.0%","7.64","B+ (3.57)","B+ (3.65)"
"Steinmetz, Phel","VIS 165 - Camera Techniques              (A)","WI10","21","12","100.0%","100.0%","4.70","A- (3.82)","B+ (3.58)"
"Smith, Cauleen","VIS 171 - Digital Cinema-Theory/Productn (A)","WI10","17","7","100.0%","85.7%","7.36","B (3.29)","N/A"
"Fagin, Steve","VIS 174 - Media Sketchbook               (A)","WI10","21","7","85.7%","71.4%","6.50","B+ (3.43)","B (3.27)"
"Montoya, Ivonne Patricia","VIS 174 - Media Sketchbook               (B)","WI10","22","8","100.0%","100.0%","6.25","A- (3.75)","A- (3.86)"
"Smith, Cauleen","VIS 177 - Scripting Strategies           (A)","WI10","21","7","85.7%","57.1%","5.07","B+ (3.43)","A- (3.84)"
"Trigilio, Michael","VIS 178 - Sound - Theory and Production  (A)","WI10","22","16","100.0%","100.0%","7.83","A- (3.73)","B+ (3.36)"
"Hock, Louis J.","VIS 180A  - Documentary Evidence/Media Pra (A)","WI10","19","4","100.0%","75.0%","11.00","B (3.00)","N/A"
"McCabe, Kathleen","VIS 180B  - Fic & Allegory/Curr Media Prac (A)","WI10","16","4","100.0%","100.0%","7.00","A (4.00)","N/A"
"McCabe, Kathleen","VIS 183A  - Strategies of Self             (A)","WI10","25","9","100.0%","100.0%","9.83","A- (3.78)","B+ (3.63)"
"Fagin, Steve","VIS 183B  - Strategies of Alterity         (A)","WI10","17","5","100.0%","100.0%","9.70","B+ (3.40)","N/A"
"Dominguez, Ricardo","VIS 2 - Intr/Art-Making:Motn&Time Base (A)","WI10","138","52","59.6%","74.5%","4.77","B+ (3.60)","B+ (3.37)"
"Hendrickson, Laura M.","VIS 22 - Formations of Modern Art       (A)","WI10","164","60","66.7%","23.3%","3.73","B+ (3.51)","B+ (3.49)"
"Greenstein, Jack M","VIS 23 - Informtn Technologies/Art Hist (A)","WI10","17","10","60.0%","100.0%","3.30","B+ (3.50)","N/A"
"Stalbaum, Brett","VIS 40 - Introduction/Computing in Arts (A)","WI10","102","35","65.7%","82.9%","4.56","B+ (3.69)","B+ (3.57)"
"Anderson, Shane Nicholas","VIS 60 - Intro/Digital Photography      (A)","WI10","93","32","96.9%","96.9%","7.06","B+ (3.40)","B (3.11)"
"Gorin, Jean-Pierre","VIS 87 - Freshman Seminar               (B)","WI10","7","4","100.0%","100.0%","1.50","A (4.00)","N/A"
"Gorin, Jean-Pierre","VIS 87 - Freshman Seminar               (C)","WI10","7","5","60.0%","60.0%","0.50","N/A","N/A"
"Ortiz-Torres, Ruben","VIS 1 - Intr/Art-Making:2-D Practices  (A)","FA09","344","119","84.0%","73.1%","4.26","B+ (3.44)","B+ (3.31)"
"Herbst, Marc","VIS 105B  - Drawing: Practices and Genre   (A)","FA09","29","24","100.0%","75.0%","3.83","A- (3.78)","B+ (3.57)"
"Silva, Ernest Ronald","VIS 106B  - Painting: Practices and Genre  (A)","FA09","24","14","100.0%","100.0%","7.36","B+ (3.69)","A (4.00)"
"Herbst, Marc","VIS 107A  - Sculpture: Making the Object   (A)","FA09","29","19","100.0%","78.9%","3.97","B+ (3.58)","B+ (3.55)"
"Nodelman, Sheldon A.","VIS 112 - Art Historical Methods         (A)","FA09","14","14","85.7%","50.0%","6.93","A- (3.75)","N/A"
"Greenstein, Jack M","VIS 122D  - Michelangelo                   (A)","FA09","110","65","84.6%","84.6%","4.32","B+ (3.43)","B (3.05)"
"Hendrickson, Laura M.","VIS 124BN - Art and the Enlightenment      (A)","FA09","56","37","64.9%","67.6%","4.50","B+ (3.39)","B+ (3.34)"
"Sowell, Teri Lynne","VIS 126K  - Oceanic Art                    (A)","FA09","60","50","94.0%","96.0%","2.74","B+ (3.56)","B+ (3.42)"
"Woods, Ann","VIS 128A  - Topics/Pre-Modern Art History  (A)","FA09","93","68","97.1%","100.0%","3.47","B+ (3.55)","B (3.05)"
"Spellman, Lisa Naomi","VIS 140 - Digtl Imaging:Image&Interactiv (A)","FA09","39","22","72.7%","45.5%","4.50","B+ (3.55)","B (3.08)"
"Cardenas, Micha Maya","VIS 147A  - Electronic Technologies/Art I  (A)","FA09","47","33","75.8%","68.8%","5.71","B+ (3.56)","B+ (3.40)"
"Manovich, Lev Z","VIS 149 - Contemporary Computer Topics   (A)","FA09","13","11","72.7%","72.7%","3.59","B+ (3.55)","N/A"
"Gorin, Jean-Pierre","VIS 155 - The Director Series            (A)","FA09","87","43","97.6%","97.6%","4.69","B+ (3.53)","B+ (3.39)"
"Bloom, Lisa E","VIS 158 - Histories of Photography       (A)","FA09","122","78","50.6%","34.2%","4.61","B (3.06)","B- (2.96)"
"Lonidier, Fred S.","VIS 164 - Photographic Strategies        (A)","FA09","23","8","50.0%","50.0%","3.50","B+ (3.50)","B+ (3.61)"
"Lonidier, Fred S.","VIS 165 - Camera Techniques              (A)","FA09","21","14","100.0%","71.4%","4.93","A- (3.79)","B+ (3.61)"
"Lertxundi, Laida","VIS 171 - Digital Cinema-Theory/Productn (A)","FA09","17","12","91.7%","91.7%","6.00","B+ (3.45)","N/A"
"Hock, Louis J.","VIS 174 - Media Sketchbook               (A)","FA09","23","22","100.0%","100.0%","7.41","A- (3.86)","B+ (3.40)"
"Smith, Cauleen","VIS 174 - Media Sketchbook               (B)","FA09","17","12","91.7%","58.3%","7.33","B+ (3.50)","N/A"
"Mangolte, Babette","VIS 176 - 16mm Filmmaking                (A)","FA09","19","13","100.0%","92.3%","10.65","B+ (3.42)","N/A"
"Trigilio, Michael","VIS 178 - Sound - Theory and Production  (A)","FA09","20","18","100.0%","100.0%","6.06","A- (3.78)","B+ (3.55)"
"Steinmetz, Phel","VIS 180A  - Documentary Evidence/Media Pra (A)","FA09","22","8","100.0%","100.0%","5.00","B+ (3.63)","B+ (3.33)"
"Fenster, David","VIS 180B  - Fic & Allegory/Curr Media Prac (A)","FA09","22","16","93.8%","93.8%","4.88","A- (3.88)","B+ (3.50)"
"Smith, Cauleen","VIS 183A  - Strategies of Self             (A)","FA09","25","13","100.0%","91.7%","1.88","A- (3.73)","A (4.00)"
"Lertxundi, Laida","VIS 183B  - Strategies of Alterity         (A)","FA09","20","18","72.2%","94.4%","6.39","A- (3.71)","B+ (3.70)"
"Newsome, Elizabeth Ann","VIS 21A  - Int/ArtAmericas/Africa/Oceania (A)","FA09","169","87","74.7%","65.5%","2.02","A- (3.74)","B+ (3.48)"
"Woods, Ann","VIS 23 - Informtn Technologies/Art Hist (A)","FA09","18","11","81.8%","100.0%","2.86","A- (3.73)","N/A"
"Stalbaum, Brett","VIS 40 - Introduction/Computing in Arts (A)","FA09","148","30","70.0%","73.3%","4.57","B+ (3.64)","B+ (3.47)"
"Wallen, Ruth","VIS 60 - Intro/Digital Photography      (A)","FA09","190","46","88.9%","60.5%","5.26","B+ (3.44)","B (3.23)"
"Trigilio, Michael","VIS 70N  - Introduction to Media          (A)","FA09","230","95","93.7%","98.9%","4.67","B+ (3.43)","B+ (3.45)"
"Mangolte, Babette","VIS 84 - History Of Film                (A)","FA09","163","103","59.2%","40.8%","3.64","B+ (3.41)","B- (2.95)"
"Yuasa, Ryuhei","VIS 105A  - Drawing: Representing/Subject  (A)","SU09","28","17","100.0%","82.4%","6.62","B+ (3.69)","N/A"
"Li, Huai","VIS 105D  - Aesthetics/Chinese Calligraphy (A)","SU09","22","7","100.0%","100.0%","2.50","A- (3.71)","N/A"
"Yuasa, Ryuhei","VIS 106A  - Painting:  Image Making        (A)","SU09","21","8","87.5%","75.0%","10.25","A (4.00)","N/A"
"Shen, Kuiyi","VIS 127C  - Arts of Modern China           (A)","SU09","69","35","85.7%","82.9%","4.79","A- (3.74)","N/A"
"Gorin, Jean-Pierre","VIS 153 - The Genre Series               (A)","SU09","45","15","60.0%","53.3%","2.90","B+ (3.31)","N/A"
"Mangolte, Babette","VIS 194S  - Fantasy In Film                (A)","SU09","82","38","84.2%","32.4%","4.18","B+ (3.30)","N/A"
"Jovanovich, Monica E.","VIS 22 - Formations of Modern Art       (A)","SU09","47","17","70.6%","88.2%","5.91","B+ (3.47)","N/A"
"Anderson, Shane Nicholas","VIS 60 - Intro/Digital Photography      (A)","SU09","57","18","88.9%","83.3%","5.50","A- (3.80)","N/A"
"Mac Connel, Kim R.","VIS 105C  - Drawing: Portfolio Projects    (A)","SP09","15","14","100.0%","100.0%","3.36","A- (3.93)","N/A"
"Li, Huai","VIS 105E  - Chin Calligraphy/Installation  (A)","SP09","15","12","100.0%","100.0%","3.50","A- (3.91)","N/A"
"Guerrero, Raul M.","VIS 106A  - Painting:  Image Making        (A)","SP09","27","22","95.2%","90.5%","4.05","A (4.00)","A- (3.96)"
"Cervantes, Alida","VIS 106B  - Painting: Practices and Genre  (A)","SP09","15","13","100.0%","100.0%","4.65","A- (3.80)","N/A"
"Mac Connel, Kim R.","VIS 106C  - Painting: Portfolio Projects   (A)","SP09","14","7","100.0%","100.0%","4.50","A (4.00)","N/A"
"Levy, Sharon Rachel","VIS 107A  - Sculpture: Making the Object   (A)","SP09","26","20","84.2%","73.7%","6.60","A- (3.83)","A- (3.84)"
"Gallaccio, Anya","VIS 107CN - Sculpture: Portfolio Projects  (A)","SP09","14","7","100.0%","85.7%","10.79","B+ (3.67)","N/A"
"Steinbach, Haim","VIS 108 - Advanced Projects in Art       (A)","SP09","19","15","78.6%","63.6%","7.17","B+ (3.60)","N/A"
"Park, Kyong Dong","VIS 110F  - Instlatn:Cross-Discipln Projct (A)","SP09","16","10","60.0%","55.6%","3.10","B+ (3.56)","N/A"
"Adler, Amy","VIS 110I  - Performing for the Camera      (A)","SP09","19","12","100.0%","100.0%","4.33","A- (3.92)","N/A"
"Dimitroff, Katherine Milka","VIS 112 - Art Historical Methods         (A)","SP09","19","16","87.5%","100.0%","5.75","B+ (3.69)","N/A"
"Newsome, Elizabeth Ann","VIS 117E  - Problems in Ethnoaesthetics    (A)","SP09","17","12","100.0%","100.0%","2.50","B+ (3.64)","N/A"
